article,classification,summary
"Measuring 30cm high and made entirely from cake, these amazing hand - crafted designs are a luxury alternative to traditional easter eggs. The incredibly detailed works of art were inspired by faberge's famous jewelled eggs, and painstakingly created by 14 of the uk's top cake artists. Each of the intricate treats is entirely edible and were made using a range of decorating techniques and sugar work. Scroll down for video. Yellow bee cake company's amazing violet and gold carousel which features cakes as rides instead of the usual animals. Purple cake with gold detailing and purple roses by rose marie's cake ( left ) and zee chik cakes' peephole egg with sugar work figurine ( right ). The eggs were created as part of a feature for cake masters magazine - and feature in this month's edition, with easter just around the corner. Rosie mazumder, editor of cake masters magazine, said : `the eggs that have been created for this feature are just fantastic. ` the attention to detail and the hours spent working on the eggs shows in the presentation of each individual one. ` the eggs were on display at cake international in london last weekend, and it was great to get a closer look at them all.' The creations take their inspiration from the iconic russian eggs created by jeweller peter carl faberge which were famously gifted to figures including the tsars alexander iii and nicholas ii. Textured masterpiece : cakeium's frosted blue base is decorated with gold icing and beading as is the egg itself. A fairy sits on a pedestal in the middle of this cake made by by suzanne thorp of the frostery which also features clover leaves and a hand - painted plaque of mary berry. Laura jane cake design's egg features hand painting and brush embroidery ( left ). Laura loukaides, from laura loukaides cakes was inspired by",correct,"The eggs were created as part of a feature for cake masters magazine - and feature in this month's edition. Each of the intricate treats is entirely edible and were made using a range of decorating techniques and sugar work. The detailed works of art were inspired by faberge's famous jewelled eggs, and painstakingly created by 14 of the uk's top cake."
"Most dog owners would say they were dedicated to their pets. But dave rickard and his wife brenda are so devoted to their west highland terrier daisy that they didn't think twice about giving her the kiss of life after she was feared to have drowned. Mr rickard, 72, and his wife brenda, 67, were on holiday when daisy fell 10ft from a quay into the sea. Very quickly the strong currents began to pull her under. Dave rickard, 72, and his wife brenda, 67, with their beloved west highland terrier daisy. Mr rickard, a retired industrial engineer, said : `daisy was off the lead and she just slipped off the side. She was swimming okay but the current was taking her away and eventually she got so weak and gave up. ` her head went under the water, it was horrendous.' Daisy was pulled from the water by a passing fisherman on a boat who hooked a pole through her collar. The family were on holiday in caernarfon, north wales, pictured, when the drama unfolded. Mr rickard said : `he handed her to me. She was just totally motionless, there was nothing there. I started rubbing her chest and there was lots of water coming out of her mouth and nostrils. Daisy has now recovered from the ordeal. ` i instinctively started breathing in her mouth and after about four or five minutes of me and my wife doing it i put my cheek to her nose and could feel a slight breath. ` we wrapped her up as warm as we could and drove to the vet. In the car i treated her as if she was a human and kept calling her name and trying to keep her with us and to keep her eyes open.' He said the vet put daisy on oxygen and kept her in overnight. ` they said she might have pneumonia or brain damage but she pulled through,' he added. ` she doesn't seem to have been affected at all.",correct,"Dave rickard, 72, and his wife brenda, 67, were on holiday in north wales. Daisy fell 10ft from a quay into the sea. She was feared to have drowned."
"Remembering passwords can be a struggle. While apple offers touch id to use your fingerprint to unlock a handset, google has now released an update to its android software allowing owners to unlock their phone with their voice. Known as trusted voice, it can unlock a phone simply by hearing its owner say `ok, google'. Google has released an update to its android software allowing owners to unlock their phone with their voice. ` we've heard from multiple users that the fully formed feature is rolling out,' said android police. ` tapping the option under smart lock will take users to the google app's settings.' A warning advises that trusted voice unlocking is less secure than other options, but just a couple taps and you'll be able to unlock and execute commands on your secured device by simply uttering `ok google.' ' however, even google admits the feature is not as secure as other password options. The popup when you enable `trusted voice' warns that the feature is not as secure as a traditional lock screen and that `someone with a similar voice could unlock your device.' Google also offers an alternative way to unlock an android phone - and it involves using your face. The face unlock feature was originally introduced in 2011 as part of android 4. 0, also known as ice cream sandwich, but despite this, it is still a relatively unknown tool. It can recognise a person's face and recent updates mean it can even establish whether or not the face being shown to the camera is real, or is a photograph. The voice unlock feature has not been officially announced by google, but has begun to appear on some android handsets. To set up face unlock, people with android phones running ice cream sandwich or higher can go to settings, security, click on screen lock and select face unlock. The set - up wizard will then ask the user to take a photo of their face, using the device's front - facing camera. It will also advise",correct,"Google has released an update to its android software allowing owners to unlock their phone with their voice. Known as trusted voice, it can unlock a phone simply by hearing its owner say `ok, google' google admits the feature is not as secure as other password options. Google also offers an alternative way to unlock an android phone."
"Researchers have completed the first comprehensive study of the microbes living on and in and uncontacted tribe from the amazon. They say the results show just how modern lifestyles and diets have changed us - and that the bacteria they found could be potentially beneficial to modern society. Researchers sequenced the microbiomes of yanomami people living in a remote amazon village in venezuela who had not had previous contact with non - yanomami. There are about 26, 000 yanomami living in brazil and 15, 000 in venezuela, mostly in federally protected reserves near rivers and in remote mountains. The yanomami are an indigenous ethnic group in the amazonian region of south america. There are about 26, 000 yanomami living in brazil and 15, 000 in venezuela, mostly in federally protected reserves near rivers and in remote mountains. The yanomami are hunter - gatherers. They gather wild bananas, seasonal fruits, palm hearts and cassava. They hunt birds, small mammals, crabs, frogs, small fish and the occasional peccary, monkey or tapir. The group doesn't grow food or domesticate livestock. The researchers found that yanomami people harbor microbiomes with the highest diversity of bacteria and genetic functions ever reported in a human group. ` that tells us that western diets and lifestyles have a great impact on our microbiomes', experts at university of san diego said. ` studying the microbiomes of people in remote areas may hold the key to understanding microbes we have lost through antibiotics, sealed buildings and lack of exposure to the outdoors,' said study co - author rob knight. In the new study published april 17 by science advances, researchers sequenced the microbiomes of yanomami people living in a remote amazon village in venezuela who had not had previous contact with non - yanomami. This information revealed, for the first time, the species of bacteria that co - exist with people who have never been",correct,"Researchers sequenced the microbiomes of yanomami people living in a remote amazon village in venezuela who had not had previous contact with non-yanomami. There are about 26,000 yanomami living in brazil and 15,000 in venezuela, mostly in federally protected reserves near rivers and in remote mountains. Yanomami people harbor microbiomes with highest diversity of bacteria and genetic functions ever reported in a human group."
"Rome ( cnn ) italian authorities said they had launched a `` vast anti - terrorism operation'' friday, going after suspects associated with al qaeda who had discussed a range of targets, including the vatican. Some members of the terrorist cell had direct contact with al qaeda leader osama bin laden before his death in pakistan in 2011, wiretaps showed, italy's state - run ansa news agency reported. And wiretaps and other intelligence revealed that the group planned to carry out terrorist attacks in afghanistan and pakistan as well as in italy, according to caligari chief prosecutor mauro mura. Some evidence indicated the vatican was among the targets considered, police said. Talk of this took place march 2010, around the time a possible suicide bomber from afghanistan entered italy, mura said. Police said, too, that some of the suspects were involved in a pakistani market bombing in 2009 in which more than 300 people were killed and injured. The suspects had been under surveillance for years, some as far back as 2005, police said. On friday, italian state police closed in, carrying out raids in seven provinces in what they called a first - of - its - kind operation. One of the raids targeted the alleged terrorist cell's headquarters on the island of sardinia. The operation, which is still going on, is expected to result in the arrest of 18 people, most of them from pakistan, said spokesman paolo meloni, who represents the police in sassari, sardinia, where the investigation is being coordinated. Some suspects had an abundance of weapons and moved cash around the world, police said. One was apprehended on a flight from italy to pakistan while carrying 55, 000 euros, or nearly $ 60, 000, police said. Meloni said the provinces in which the raids were being carried out included frosinone and macerata, which are in central italy, as well as bergamo, in the north. Some of those expected",correct,Some members of the terrorist cell had direct contact with al qaeda leader osama bin laden before his death in 2011. The group planned to carry out terrorist attacks in afghanistan and pakistan as in italy. Some of the suspects were involved in a pakistani market bombing in 2009.
"Shoppers have been taking advantage of cheaper milk, vegetables and clothes as a result of the supermarket price wars and the falling price of oil. Prices have fallen by the largest amount in almost a decade as supermarkets continue to slash the cost of milk, vegetables and meat as they compete with each other and with emerging budget chains for customers. And on the high street clothes and footwear have become even more affordable - with prices dropping by around 7. 8 per cent in the last 12 months - as the low cost of oil makes transporting and selling goods even cheaper. Consumers are taking to the shops as they cash in on the falling prices of supermarket staples and clothes. Milk, bread, eggs, cheese and roasting chickens have seen the biggest fall in price at the supermarket checkout as the large chains have been forced to reduce their prices to compete with the rise of budget stores aldi and lidl. According to the british retail consortium - nielsen price index, goods in shops cost 2. 1 per cent lower this march than the same time last year, the guardian reported. This is the biggest fall in prices in a single year since records began nine years ago, in 2006. It is also a larger drop than the 1. 7 per cent recorded the month before. Fresh food prices have dropped by around 0. 9 per cent in a year, while the figure for electrical items was even greater, falling 5. 7 per cent in the last 12 months. And the falling costs for consumers, which have been taking place for the last 23 months, show no sign of stopping. Mike watkins, head of retailer and business insight at data firm nielsen told the financial times : `prices continue to fall across the retail industry and deflation is likely to be with us for the near future, which means shoppers are going to be able to stretch their budgets further when shopping in store or online.' Cheese and milk have seen some of the biggest fall in prices - of around 0. 9 per cent in the last",correct,"Prices have fallen by largest amount in almost a decade as supermarkets continue to slash the cost of milk, vegetables and meat as they compete with each other. On the high street clothes and footwear have become even more affordable - with prices dropping by around 7.8 per cent in the last 12 months. This is the biggest fall in prices in a single year since records began nine years ago in 2006."
"Tennis champion novak djokovic has apologised to a startled ball boy and his parents after the serbian player startled him during his final showdown with andy murray. Djokovic started shouting at his backroom team after he lost the second set of the miami open to murray. During the tirade, djokovic grabbed a towel from the shocked youngster who was caught up in the crossfire. Umpire damien dumusois issued djokovic a warning for the way he shouted at his support team, but there was no reprimand for the manner in which he treated the ball boy. Tennis champion novak djokovic issued an apology to a ball boy he frightened during the miami open. Djokovic shouted at his backroom team when the ball boy got caught up in the cross fire. Djokovic grabbed a towel from the ball boy, pictured, who seemed startled by the loud confrontation. However, following his victory, djokovic posted a message on his facebook page apologising to the youngster and his parents. He said : `it's probably been the best start to a season aside from 2011 that i had in my career, and i can't be more grateful for all the support i'm getting from you guys and i'm enjoying my time playing and competing and hopefully i brought a smile to your faces. ` also i want to reflect on a bad moment that happened in the final against andy when i lost the second set. I yelled to my camp and my box in frustration.' I saw the replay. Unfortunately a ball boy was in the middle of it and i really, really feel sorry and regret that he was there. There was absolutely no intention whatsoever to hurt him or scare him in any kind of way. I sincerely hope he forgives me. I really apologise.' Djokovic then extended his apology to the boy's parents.' I do care about children a lot right now and i",correct,Djokovic started shouting at his backroom team after he lost the second set of the miami open to murray. Djokovic grabbed a towel from the ball boy who was caught up in the crossfire. Tennis champion novak djokovic issued an apology to the youngster and his parents.
"The avocado tree is `transgender' and has overnight sex changes, a botanist has discovered. Professor john warren discovered avocado trees switch from male to female in a matter of hours. Professor warren, based at the university of aberystwyth, wales, said the avocado tree displays `unique flowering behaviour'. He found that during the day the trees, which grow in tropical and mediterranean climates, flower with their `female parts' ready to be pollinated by bees. Professor john warren discovered avocado trees switch from male to female in a matter of hours. The flowers close for the night and then the next morning they reopen - but now they use their `male anthers' to spread their pollen. Professor warren said : `the whole elaborate exercise seems to have evolved to increase the chances of cross - pollination, while limiting the amount of self - pollination. ` the trees are usually successful in avoiding the `sin' of inbreeding.' Professor warren has written about the avocado in his book called the nature of crops. The botanist, from the university of aberystwyth, pictured, said the plants limited the amount of self - pollination.",correct,"Professor john warren discovered avocado trees switch from male to female in a matter of hours. During the day the trees grow in tropical and mediterranean climates, flower with their `female parts' ready to be pollinated by bees. Flowers close for the night and then the next morning they reopen - but now they use their `male anthers' to spread their pollen."
"The first dramatic footage of the hatton garden jewellery heist shows how the gang returned twice in three days to continue their audacious robbery - as it is revealed police may have to pay out millions in compensation for ignoring the alarm. The six - strong gang dressed in high - vis jackets were captured on cctv working throughout thursday night having successfully broken into the basement of the building in the heart of london's jewellery district. Shockingly, the footage reveals they returned again on saturday - spending another eight hours cleaning out the jewels and cash left there for safekeeping. Scroll down for video. The mirror has obtained the first pictures of the six - strong gang which raided hatton gardens last week. Images obtained by the daily mirror reveal the precise timings of the raid for the first time - as well as the fact they used wheelie bins to remove millions of pounds worth of jewellery and valuables from the safe. Scotland yard tonight refused to confirm to mailonline whether they had seen the footage before it was handed to them by the mirror, but it is likely to place even more pressure on police already under fire for not responding to the alarm. The footage begins at 9. 23 pm - - just four minutes after staff at the safety deposit centre lock up for the easter weekend - - as the first thief appears on camera carrying a black bin bag. It was unclear exactly where the cameras were situated, but at least one is aimed outside the building and shows a white van thought to be the getaway vehicle. Over the following four nights, half a dozen raiders are seen lugging heavy - duty tools, including massive bolt cutters and a red monkey wrench down to the secure vault. Each member of the gang is wearing builder's overalls and high - visibility vests. At least one has a balaclava over his face, while others wear dust masks - - but each one is partially reconisable. The first raider to appear has been dubbed mr ginger after the",correct,The six-strong gang dressed in high-vis jackets were captured on cctv working throughout thursday night. The footage reveals they returned again on saturday - spending another eight hours cleaning out the jewels and cash left there for safekeeping. They used wheelie bins to remove pounds worth of jewellery and valuables from the safe.
"The football family has rallied round a blackpool pensioner sued by the oyston family for alleged defamatory comments made on his facebook page. Frank knight settled before court proceedings with the owners of the championship's basement club, having to pay a staggering $ 20, 000 in damages. Supporters up and down the country have reacted to that by raising close to $ 15, 000 in under three days - - an act of defiance against the running of blackpool. Blackpool fans vent their disgust at the oyston family, who own the club, last week. Supporters have been protesting against the oystons before matches and then not attending the games. Knight is a lifelong fan of the seasiders and was ordered to apologise for posting a disparaging status online this time last year. A fellow blackpool fan began a fundraising page on the website `go fund me', which has attracted interest across britain. Countdown's rachel riley and comic russell brand have tweeted links to the page. Brand said : `blackpool fans! What's going on at your club? How can i help? $ thingscanchange' riley tweeted : `one for the football family - petty and awful treatment of a tangerine oap fan by the owner, ridiculous stuff.' It looks likely that organiser joe atherton will reach his $ 20, 000 target in the coming days. Blackpool chairman karl oyston speaks on his mobile phone during tuesday's draw with reading. Owner owen oyston watches the match huddled under a blanket in the stands. Blackpool fan frank knight posted an apology on a supporters' messageboard on thursday. And atherton can't believe the way in which his fundraising has taken off. ` when typing in the $ 20, 000 `` target'' i sat back and thought `` no chance, if we can get frank $ 5k or so i'll be happy.' ' to break this in just over two",correct,Frank knight settled before court proceedings with the owners of the championship's basement club. Supporters have been protesting against the oystons before matches and then not attending the games. Knight is a lifelong fan of the seasiders and was ordered to apologise for posting a disparaging status online this time last year.
"The muslim man who was racially abused along with his wife has thanked the `legend' woman who stood up for them and recorded the attack. Stacey eden, 23, stood up for the muslim woman and her partner after witnessing the ranter `bullying' the sydney commuter on an airport line train about 1. 40 pm on wednesday. Ms eden switched on the video camera on her mobile phone to record the vile rant before rushing to muslim couple's defence with a fiery spray notably absent of any swearing. Scroll down for video. Not going to take it anymore : stacey eden ( pictured ) made a bold stand in defence of a muslim couple who faced a racially - charged tirade on a sydney train on wednesday afternoon. Hafeez ahmed bhatti told daily mail australia he was shocked by the ugly incident. ` she asked my wife why she was wearing a scarf when it was hot outside - when my wife answered her i thought the woman was asking to be friendly,' mr bhatti said. ` then she started saying muslims like us are trying to conquer australia and behead everyone here. We were absolutely shocked. ` it was just very disappointing.' Mr bhatti said another woman nearby supported the racist woman, and the incident caused his family to miss its flight home. ` she said all muslims should be kicked out of australia - i tried to calm things down by telling her we love everyone,' mr bhatti said. He also said his wife was `very shaken up' after the incident, to the extent she questioned if it was worth staying in australia. ` this sort of thing has happened before, but you try to ignore it and the ignorant people behind it ; there are lots of very good people in australian and only a few bad ones,' he said. ` god bless stacey eden who supported us.' Hafeez bhatti, who was racially abused along with his wife on a sydney train,",correct,"Stacey eden, 23, stood up for the muslim woman and her partner. Ms eden switched on the video camera on her mobile phone to record the vile rant before rushing to muslim couple's defence with a fiery spray. Hafeez bhatti was racially abused along with his wife on a sydney train."
"The number of hayfever sufferers in the uk is predicted to reach 20 million this summer, up a third from last year as warm weather bathes the country. For many, the glorious sunshine and promise of temperatures warmer than the mediterranean this week will come as a welcome relief. But for millions, the first tentative steps towards summer brings impending misery as a dreaded cloud of invisible pollen descends. Experts told mailonline that five million people are expected to fall victim to the symptoms - which include streaming eyes, incessant sneezing and irritating itches at the back of the throat - for the first time. Around 20 million people in the uk are expected to suffer hayfever symptoms this summer, up a third from last year, experts told mailonline. And by 2030 that figure is expected to surge to 31. 8 million sufferers. Dr jean emberlin, a leading pollen expert, told mailonline that a 33 per cent rise in the number of people struck by hayfever this year could occur, `depending on weather conditions'. She said : `if we get prolonged periods of warm, dry weather with intervals of some wet weather between, which helps the grass to keep growing, we will experience a lot of high grass pollen counts. ` grass is the main culprit pollen for hayfever in the uk. ` high and very high pollen counts can trigger hayfever symptoms in people who have not had them before. She added : `in addition, the good weather typically brings increases in air pollution, which can make symptoms worse, and again lead them to occur in people who have been symptom free before.' In addition, she said pollen is becoming more potent, and greater numbers of plants giving off the allergens is also contributing to a rising number of sufferers. Dr emberlin said another contributing factor is that the average hayfever season is becoming longer, typically stretching from april to the end of august",correct,"Around 20 million people in the uk are expected to suffer hayfever symptoms this summer, up a third from last year. By 2030 that figure is expected to surge to 31.8 million sufferers. A 33 per cent rise in the number of people struck by hayfever this year could occur."
"The parents of a student who vanished in mysterious circumstances after leaving a nightclub made a desperate appeal for information last night. Karen buckley, 24, disappeared from the glasgow club in the early hours of sunday morning without collecting her coat after telling friends she was going to the loo. Cctv cameras filmed her talking to a man outside the club before getting into his car and travelling to his flat in nearby kelvindale. But fears over the irish student's safety were heightened yesterday after police revealed they had tracked down the man and he is not being treated as a suspect. Scroll down for video. Karen buckley, 24, ( left ) pictured with friends on the night she went missing after leaving a glasgow nightclub. Karen buckley, a student at glasgow caledonia university, has been missing since sunday after going out with friends. Miss buckley, who is brunette and 5ft 2in, was wearing a black jumpsuit and red heels when she was last seen leaving the man's flat in kelvindale at around 4am. A handbag thought to belong to her was found in a park near the man's home yesterday, causing police to say they are `gravely concerned' about her safety. The family of miss buckley, who is from cork in the republic of ireland, have flown to scotland to help with the search for the glasgow caldeonian university student, who studies occupational therapy. Her mother marion told a press conference in glasgow : `we just want karen home safely, we are desperate. She is our only daughter, we love her dearly. Miss buckley, who is originally from cork in ireland was last seen when she left the flat of a man she had met at around 4am on sunday morning and was planning to walk home to her flat in hill street in the garnethill area. Miss buckley's parents marian and john have travelled to glasgow from cork to help in the search for their daughter. ` if anybody has any information please come forward,",correct,"Karen buckley, 24, disappeared from the glasgow club in the early hours of sunday morning without collecting her coat after telling friends she was going to the loo. Cctv cameras filmed her talking to a man outside the club before getting into his car and travelling to his flat in kelvindale. But fears over the irish student's safety were heightened yesterday after police revealed they had tracked down the man and he is not being treated as a suspect."
"The podium girl is the centre of a `sexism storm' after lewis hamilton sprayed champagne in her face said she wasn't offended by his stunt - and was just doing her job. The british formula 1 racer drew criticism from around the world when he aimed the fizz directly as the face of 23 - year - old grid girl liu siying, who was pictured looking less than impressed. But the shanghai institute of visual art graduate, who was a `podium girl' at the chinese grand prix, said she didn't think much about the incident and wasn't annoyed. Scroll down for video. Liu siying was pictured grimacing as lewis hamilton sprayed champagne at her face after winning the race. Sexism campaigners called hamilton's behaviour `selfish' but siying said she did not think too much about it. The hostess said :' i was told by my employer to stand on the podium, and that's what i did' `it lasted for only one or two seconds, and i did not think too much about it at all,' miss siying told the shanghai daily.' I think some foreign media are more sensitive about the topic compared to local media.' I was just told by my employer to stand on the podium, and that's what i did.' Miss siying had asked to work as a podium model on the stage of the chinese grand prix in shanghai because she was a fan of finnish driver kimi raikkonen. After the incident on sunday, object, a campaign group against sexism, condemned the behaviour of the driver as `selfish and inconsiderate' and called on hamilton to apologise to the graduate. Others have called the driving ace an' em barrassment to the uk', while another said his actions showed that he was an `ignorant clown'. Scroll down for video. It's not the first time racing ace lewis hamilton has sprayed a grid girl with bubbly",correct,Lewis hamilton sprayed champagne at her face after winning the chinese grand prix. Sexism campaigners called hamilton's behaviour `selfish' but siying said she didn't think too much about it at all. The british formula 1 racer drew criticism from around the world.
"Tough stance : health minister marisol touraine wants to impose fines and prison sentences for inciting binge drinking. They look down on our food, our weather and even our language. Now france has cocked a snooty nose at our drinking habits, too - - and is blaming us for exporting them across the channel. French health chiefs say the uk is responsible for causing a sharp rise in the number of youngsters who binge - drink. It has slammed the practice of going out to get drunk as an `anglo - saxon phenomenon' and says it is being copied by increasing numbers of youths on the continent. But critics have said it's a case of double standards for a country where children are encouraged to drink wine at the table from a relatively early age. The latest figures reveal that almost half of french 18 to 25 years olds have consumed alcohol with the sole aim of getting drunk - - compared to 33 per cent ten years ago. The rise in binging is particularly high among young women, soaring from eight per cent who admitted they had done it in 2005, to three times that number by 2015. Now france's state health watchdog has claimed the sharp increase is due to french youths copying the english. Francis bourdillon, head of the national institute of prevention and health education, said : `this is an anglo - saxon phenomenon that's starting to creep into the generation of the 15 - 24 - year - olds. ` consumption of alcohol in france is particularly worrying among young people and especially among young women. ` besides the obvious health concerns, binge drinking can also lead to violence against women, sometimes fatal drunken accidents, and unprotected sex.' Bad influence : french officials claim binge drinking is an anglo - saxon phenomenon, pictured here on tv programme booze britain. Sophisticated : french officials would prefer youngsters to move back to the more traditional pastimes such as a picnic lunch, after new figures revealed more youths are drinking",correct,"Almost half of french 18 to 25 years olds have consumed alcohol with the sole aim of getting drunk, compared to 33 per cent ten years ago. Health chiefs say the uk is responsible for causing a sharp rise in the number of youngsters who binge-drink. French health minister marisol touraine wants to impose fines and prison sentences for inciting binge drinking."
"Warren sapp was charged with soliciting prostitution and two counts of assault in february. Warren sapp made many highlight - reel plays during the course of his hall of fame career, but the former nfl star might be better remembered for his off - field exploits thanks to a new video. Sapp was arrested the night after the super bowl in phoenix, arizona, on a prostitution charge after an alleged incident involving two women. In a police video released on monday, sapp, 42, cries, cackles and confesses about what exactly went down back on february 2 in the renaissance hotel. In the video obtained by tmz, sapp admits he paid for oral sex and that `everyone got naked' after he `put $ 600 on the table' in his hotel room. The two women who were arrested along with sapp were britney osbourne, 23, and 34 - year - old quying boyd. Sapp continued : `we're in the bed and i start taking pictures of the two ladies naked and doing what they're doing. ` so i'm taking pictures because i'm silly like that sometimes.' Scroll down for video ( warning : graphic and sexually - explicit content ). In a police video released on monday, sapp, cries, cackles and confesses during his prostitution arrest. Britney osbourne, 23 ( left ), and quying boyd, 34 ( right ), were both arrested in phoenix along with sapp. The incident allegedly took place very early on february 2 at the renaissance hotel in phoenix, arizona. He told police one of them began performing oral sex on him - they stayed safe and used a condom - but the other annoyed him by chatting. When it became too much, sapp told her : `why don't you use your mouth on me, instead of using it. ` just go. Just move.",correct,"Warren sapp admits he paid for oral sex and that `everyone got naked' after he `put $ 600 on the table' in his hotel room. The two women who were arrested in phoenix along with sapp were britney osbourne, 23, and quying boyd. Sapp, 42, was charged with soliciting prostitution and two counts of assault in february."
"While the countdown for andrew chan and myuran sukumaran's impending execution has begun, many are still holding out a glimmer of hope and calling for mercy during nation - wide vigils. Over 300 people gathered at sydney harbour for a candlelight vigil in front of a huge flower wall reading' $ keephopealive' on monday night. Brisbane, melbourne and perth also saw hoards of people congregate to show solidarity for the condemned duo. Scroll down for video. While the countdown is on for andrew chan and myuran sukumaran's execution, many are still holding a glimmer of hope and attending nation - wide vigils. The two men are set to be executed just after the stroke midnight on wednesday ( 3am aest ). 300 people gathered at the blues point reserve on sydney's north shore donning signs and candles.' $ keephopealive' was erected using over 15, 000 flowers donated by amnesty international supporters. The blues point reserve gathering in sydney's north shore contained 15, 000 flowers donated by amnesty international supporters. ` where there's life, there's hope and we will continue to campaign on this until we see that we just can't do this anymore and this is why we're all here this evening,' she said. ` australians have come out and spoken out in opposition to the death penalty and in solidarity with australians andrew chan and myuran sukumaran as well as all the others at imminent risk of execution.' The crowd held various signs, this one reads `it's not too late indonesia! I stand for mercy' `where there's life, there's hope and we will continue to campaign on this until we see that we just can't do this anymore and this is why we're all here this evening,' said crisis campaigner diana sayed. Participants of all ages",correct,"Over 300 people gathered at sydney harbour for a candlelight vigil in front of a huge flower wall reading' $keephopealive' on monday night. The blues point reserve gathering in sydney's north shore contained 15,000 flowers donated by amnesty international supporters. The two men are set to be executed just after the stroke midnight on wednesday."
"With a `megadrought' forecast to hit the us in the coming decades, parched states are turning to increasingly radical solutions to fill their reservoirs. Arizona is leading the way with plans to create artificial rain clouds by flying planes over the rockies and seeding the sky with silver iodide. They hope the technology will allow them to mitigate some of the worst impacts of climate change - - but not everyone is convinced. With a `megadrought' forecast to hit the us in the coming decades, parched states are turning to increasingly radical solutions to fill their reservoirs. Arizona is leading the way with plans to create artificial rain clouds by flying planes over the rockies, and seeding the sky with silver iodide. The process of cloud seeding was first proposed in the 1940s at the general electric labs in schenectady, new york. Two decades later, the central arizona project and the salt river project invested in research to make it a reality. ` it hasn't been taken off the table as a potential tool as we work our way through drought now and in the future,' nancy selover, arizona's state climatologist told becky brisley at cronkite news. Since 2007, cap has put about $ 1 million toward research happening in other states to increase the supply of water in the colorado river system. Water in the air, even in dry areas, can be transformed into ice crystals by using planes to seed the atmosphere with chemicals such as silver iodide or dry ice. If it seems like it never stops raining, blame the russians. Or even the north koreans. Cia chiefs fear hostile nations are trying to manipulate the world's weather, a conference heard in february. A leading academic told how he got a mysterious phone call asking whether foreign countries could be triggering droughts or flooding. Professor alan robock, from rutgers university in new jersey, said : `consultants working for the cia rang and said we'",correct,"Arizona is leading the way with plans to create artificial rain clouds by flying planes over the rockies and seeding the sky with silver iodide. The process of cloud seeding was first proposed in the 1940s at the general electric labs in schenectady, new york. Cap has put about $ 1 million toward research in other states to increase the supply of water in the colorado river system."
"With just 28 days to go before polling day, labour and the tories remain neck and neck. The latest polls have the two main parties locked on around 35 per cent, pointing to another hung parliament on may 7. But while voters are saying one thing in public, britain's bookies are seeing a completely different picture in private - - with punters placing a flood of cash on the tories. Scroll down for video. While voters are saying one thing in public, britain's bookies are seeing a completely different picture in private - - with punters placing a flood of cash on the tories. Twice as many bets on who will win the most seats have been placed on the conservatives than labour, mailonline can reveal. One bookie alone has taken five bets for more than $ 10, 000 on david cameron's party to emerge with the most seats - - with not a single bet of this size on ed miliband's labour. The betting market echoes polls which have revealed that people expect mr cameron to remain prime minister - - even if they are not planning to vote for the tories themselves. With the election going down to the wire, bookies have seen a flood of political bets. Gambling industry experts told mailonline this year's general election to be the first in history with more than $ 100million placed on its outcome - - three times the amount staked in 2010. The bookies paddy power said they are expecting the election to be the biggest non sporting market in its history - - topping the market on the next pope after benedict's retirement and the flood of bets on the royal baby in july 2013. So far it has seen twice as much staked on the general election this year than at the same point last time. The largest bet placed with paddy power was a $ 50, 000 punt on a hung parliament which was made at the end of march with odds of just 1 / 5. The lucky punter would",correct,"Latest polls have two main parties locked on around 35 per cent. One bookie alone has taken five bets for more than $ 10,000 on david cameron's party to emerge with the most seats. Gambling industry experts say people expect mr cameron to remain prime minister."
